processed,prod_ID,category
canned blueberry,29,Berries & Grapes
canned carrot,23,Root Vegetables
canned cherry pie filling,31,Other Fruit
canned chicken,38,Poultry Meat
canned chicken breast meat,38,Poultry Meat
canned chicken broth,38,Poultry Meat
canned chili,25,Other Vegetables
canned chili pepper,25,Other Vegetables
canned chily,25,Other Vegetables
canned corn,2,Maize (Meal)
canned corn kernel,2,Maize (Meal)
canned corn niblet,2,Maize (Meal)
canned cranberry sauce,29,Berries & Grapes
canned crushed pineapple,31,Other Fruit
canned deviled ham,37,Pig Meat
canned flaked ham,37,Pig Meat
canned fruit,31,Other Fruit
canned green bean,10,Other Pulses
canned ham,37,Pig Meat
canned italian tomato,21,Tomatoes
canned jalapeno pepper,25,Other Vegetables
canned kidney bean,10,Other Pulses
canned mandarin orange,26,Citrus Fruit
canned milk,39,Milk
canned mushroom,25,Other Vegetables
canned mushroom slice,25,Other Vegetables
canned navy bean,10,Other Pulses
canned pea,11,Peas
canned peach,31,Other Fruit
canned peach half,31,Other Fruit
canned pear,31,Other Fruit
canned pineapple,31,Other Fruit
canned pineapple chunk,31,Other Fruit
canned pineapple juice,31,Other Fruit
canned pink salmon,42,Fish (farmed)
canned pinto bean,10,Other Pulses
canned plum tomato,21,Tomatoes
canned pumpkin,25,Other Vegetables
canned pumpkin puree,25,Other Vegetables
canned red bean,10,Other Pulses
canned red kidney bean,10,Other Pulses
canned red salmon,42,Fish (farmed)
canned salmon,42,Fish (farmed)
canned shrimp,43,Shrimps (farmed)
canned sliced potato,6,Potatoes
canned solid-pack pumpkin,25,Other Vegetables
canned spaghetti in tomato sauce,21,Tomatoes
canned spinach,25,Other Vegetables
canned stewed tomato,21,Tomatoes
canned sweet potato,23,Root Vegetables
canned tomato,21,Tomatoes
canned tomato sauce,21,Tomatoes
canned tuna,42,Fish (farmed)
canned unsweetened coconut milk,31,Other Fruit
canned vegetable,24,Brassicas
canned vegetable broth,24,Brassicas
canned white bean,10,Other Pulses
canned whole cranberry sauce,29,Berries & Grapes
canned whole kernel corn,2,Maize (Meal)
canned whole potato,6,Potatoes
canned whole tomato,21,Tomatoes
cannellini bean,10,Other Pulses
canola oil,19,Rapeseed Oil
cantal cheese,40,Cheese
cape gooseberry,29,Berries & Grapes
caper berry,29,Berries & Grapes
caperberry,29,Berries & Grapes
capicola-mozzarella roll,40,Cheese
caprino cheese,40,Cheese
caramel apple dip,28,Apples
caramel filled s chocolate kiss,33,Dark Chocolate
caramelized onion,22,Onions & Leeks
carnaroli rice,5,Rice
carrot,23,Root Vegetables
carrot baby food,23,Root Vegetables
carrot curl,23,Root Vegetables
carrot juice,23,Root Vegetables
carrot stick,23,Root Vegetables
cashew nut,12,Nuts
cassava,7,Cassava
caster sugar,8,Cane Sugar
catfish,42,Fish (farmed)
catfish fillet,42,Fish (farmed)
catfish nugget,42,Fish (farmed)
cauliflower,24,Brassicas
cauliflower floret,24,Brassicas
cauliflower head,24,Brassicas
cayenne pepper,25,Other Vegetables
celery,25,Other Vegetables
celery & leaf,25,Other Vegetables
celery & top,25,Other Vegetables
celery heart,25,Other Vegetables
celery leaf,25,Other Vegetables
celery powder,25,Other Vegetables
celery rib,25,Other Vegetables
celery root,25,Other Vegetables
celery salt,25,Other Vegetables
celery seed,25,Other Vegetables
celery soup,25,Other Vegetables
celery top,25,Other Vegetables
center cut pork chop,37,Pig Meat
center cut pork loin roast,37,Pig Meat
center-cut bacon,37,Pig Meat
center-cut pork chop,37,Pig Meat
center-cut pork loin,37,Pig Meat
center-cut pork loin chop,37,Pig Meat
chambord raspberry liquor,30,Wine
champagne,30,Wine
champagne grape,29,Berries & Grapes
champagne vinegar,30,Wine
champignon mushroom,25,Other Vegetables
chanterelle mushroom,25,Other Vegetables
chardonnay wine,30,Wine
cheddar and american blend cheese,40,Cheese
cheddar and colby cheese,40,Cheese
cheddar and monterey jack blend cheese,40,Cheese
cheddar bratwurst,40,Cheese
cheddar cheese,40,Cheese
cheddar cheese bread,40,Cheese
cheddar cheese cracker,40,Cheese
cheddar cheese cube,40,Cheese
cheddar cheese dip,40,Cheese
cheddar cheese powder,40,Cheese
cheddar cheese sauce,40,Cheese
cheddar cheese soup,40,Cheese
cheddar cheese spread,40,Cheese
cheddar french-fried onion,40,Cheese
cheddar garlic biscuit mix,40,Cheese
cheddar pasta sauce mix,40,Cheese
cheddarwurst,40,Cheese
cheese,40,Cheese
cheese and salsa dip,40,Cheese
cheese cracker,40,Cheese
cheese cracker crumb,40,Cheese
cheese curd,40,Cheese
cheese granule,40,Cheese
cheese nip,40,Cheese
cheese pasta sauce,40,Cheese
cheese ravioli,40,Cheese
cheese sauce,40,Cheese
cheese sauce mix,40,Cheese
cheese slice,40,Cheese
cheese slouse,40,Cheese
cheese soup,40,Cheese
cheese spread,40,Cheese
cheese stick,40,Cheese
cheese tortellini,40,Cheese
cheese wheel,40,Cheese
cheese whiz,40,Cheese
cheese-filled egg tortellini,40,Cheese
cheese-filled tortellini,40,Cheese
cheeseburger macaroni,40,Cheese
cheesecake,40,Cheese
cheesecake filling,40,Cheese
cheesecloth,40,Cheese
cheez-it white cheddar cracker,40,Cheese
cherry,31,Other Fruit
cherry 7-up,31,Other Fruit
cherry brandy,31,Other Fruit
cherry chip,31,Other Fruit
cherry cola,31,Other Fruit
cherry cordial chocolate kiss,31,Other Fruit
cherry dried cranberry,29,Berries & Grapes
cherry extract,31,Other Fruit
cherry frosting,31,Other Fruit
cherry heering,31,Other Fruit
cherry ice cream,31,Other Fruit
cherry jam,31,Other Fruit
cherry juice,31,Other Fruit
cherry liqueur,31,Other Fruit
cherry pepper,25,Other Vegetables
cherry pie filling,31,Other Fruit
cherry powdered drink mix,31,Other Fruit
cherry preserve,31,Other Fruit
cherry syrup,31,Other Fruit
cherry tomato,21,Tomatoes
cherry vanilla yogurt,39,Milk
cherry vodka,31,Other Fruit
cherry yogurt,39,Milk
cherrystone clam,31,Other Fruit
cheshire cheese,40,Cheese
chestnut,12,Nuts
chestnut mushroom,25,Other Vegetables
chevre cheese,40,Cheese
chianti wine,30,Wine
chicken,38,Poultry Meat
chicken & herb rice-a-roni,5,Rice
chicken and broccoli rice-a-roni,5,Rice
chicken and herb couscous mix,38,Poultry Meat
chicken and rice soup,38,Poultry Meat
chicken bacon,37,Pig Meat
chicken base,38,Poultry Meat
chicken bone,38,Poultry Meat
chicken bouillon,38,Poultry Meat
chicken bouillon concentrate,38,Poultry Meat
chicken bouillon cube,38,Poultry Meat
chicken bouillon granule,38,Poultry Meat
chicken bouillon mix,38,Poultry Meat
chicken bouillon powder,38,Poultry Meat
chicken breast,38,Poultry Meat
chicken breast fillet,38,Poultry Meat
chicken breast half,38,Poultry Meat
chicken breast halve,38,Poultry Meat
chicken breast tender,38,Poultry Meat
chicken broth,38,Poultry Meat
chicken broth soup,38,Poultry Meat
chicken bullion cube,38,Poultry Meat
chicken carcas,38,Poultry Meat
chicken carcass,38,Poultry Meat
chicken chilli,38,Poultry Meat
chicken chunk,38,Poultry Meat
chicken coating mix,38,Poultry Meat
chicken consomme,38,Poultry Meat
chicken cutlet,38,Poultry Meat
chicken drummette,38,Poultry Meat
chicken drumstick,38,Poultry Meat
chicken fat,38,Poultry Meat
chicken fillet,38,Poultry Meat
chicken foot,38,Poultry Meat
chicken frankfurter,38,Poultry Meat
chicken giblet,38,Poultry Meat
chicken gizzard,38,Poultry Meat
chicken gravy,38,Poultry Meat
chicken gravy mix,38,Poultry Meat
chicken gumbo soup,38,Poultry Meat
